Black Panther (2018),96,79,175,"PG-13 (for prolonged sequences of action violence, and a brief rude gesture)","Action & Adventure, Drama, Science Fiction & Fantasy",Ryan Coogler,"Joe Robert Cole, Ryan Coogler","Feb 16, 2018 wide","May 15, 2018","$501,105,037",135 minutes,Marvel Studios
Lady Bird (2017),99,79,178,"R (for language, sexual content, brief graphic nudity and teen partying)","Comedy, Drama",Greta Gerwig,Greta Gerwig,"Nov 3, 2017 limited","Mar 6, 2018","$48,285,330",93 minutes,A24
The Wizard of Oz (1939),98,89,187,G (for some scary moments),"Classics, Kids & Family, Musical & Performing Arts, Science Fiction & Fantasy","King Vidor, Victor Fleming","Florence Ryerson, Noel Langley, Edgar Allan Woolf","Aug 25, 1939 wide","Oct 19, 1999","$3,840,702",101 minutes,Warner Bros. Pictures
Citizen Kane (1941),100,90,190,PG,"Classics, Drama, Mystery & Suspense",Orson Welles,"Orson Welles, Herman J. Mankiewicz","May 1, 1941 wide","Sep 25, 2001",119 minutes,RKO Radio Pictures,
BlacKkKlansman (2018),96,82,178,"R (for language throughout, including racial epithets, and for disturbing/violent material and some sexual references)","Comedy, Drama",Spike Lee,"Charlie Wachtel, David Rabinowitz, Kevin Willmott, Spike Lee","Aug 10, 2018 wide","Nov 6, 2018",135 minutes,Focus Features,
Get Out (2017),98,86,184,"R (for violence, bloody images, and language including sexual references)","Horror, Mystery & Suspense",Jordan Peele,Jordan Peele,"Feb 24, 2017 wide","May 23, 2017","$175,428,355",104 minutes,Universal Pictures
Mad Max: Fury Road (2015),97,85,182,"R (for intense sequences of violence throughout, and for disturbing images)","Action & Adventure, Science Fiction & Fantasy",George Miller,"Brendan McCarthy, Nick Lathouris, George Miller","May 15, 2015 wide","Sep 1, 2015","$129,483,877",120 minutes,Warner Bros.
The Third Man (1949),99,93,192,NR,"Classics, Mystery & Suspense",Carol Reed,Graham Greene,"Sep 3, 1949 wide","Nov 30, 1999",104 minutes,Rialto Pictures,
Moonlight (2016),98,79,177,"R (for some sexuality, drug use, brief violence, and language throughout)",Drama,Barry Jenkins (III),Barry Jenkins (III),"Oct 21, 2016 limited","Feb 28, 2017","$27,850,910",110 minutes,A24 Films
Wonder Woman (2017),93,88,181,"PG-13 (for sequences of violence and action, and some suggestive content)","Action & Adventure, Drama, Science Fiction & Fantasy",Patty Jenkins,"Allan Heinberg, Geoff Johns","Jun 2, 2017 wide","Sep 19, 2017","$412,400,625",141 minutes,Warner Bros. Pictures
Inside Out (2015),98,89,187,PG (for mild thematic elements and some action),"Animation, Kids & Family","Pete Docter, Ronnie del Carmen","Meg LeFauve, Josh Cooley, Pete Docter","Jun 19, 2015 wide","Nov 3, 2015","$264,317,903",94 minutes,Disney/Pixar
Eighth Grade (2018),99,83,182,R (for language and some sexual material),Comedy,Bo Burnham,Bo Burnham,"Aug 3, 2018 wide","Sep 25, 2018",94 minutes,A24,
It Happened One Night (1934),98,93,191,NR,"Classics, Comedy, Romance",Frank Capra,Robert Riskin,"Feb 22, 1934 wide","Dec 28, 1999",105 minutes,Sony Pictures Home Entertainment,
Casablanca (1942),98,95,193,PG,"Classics, Drama, Romance",Michael Curtiz,"Julius J. Epstein, Philip G. Epstein, Howard Koch","Nov 26, 1942 wide","Feb 15, 2000",102 minutes,Warner Bros. Pictures,
The Cabinet of Dr. Caligari (Das Cabinet des Dr. Caligari) (1920),100,89,189,NR,"Art House & International, Classics, Cult Movies, Horror, Mystery & Suspense",Robert Wiene,"David Lee Fisher & Hans Janowitz, Carl Mayer","Feb 26, 1920 wide","Oct 15, 1997",52 minutes,Rialto Pictures,
Modern Times (1936),100,95,195,G,"Classics, Comedy",Charles Chaplin,Charles Chaplin,"Feb 25, 1936 wide","Aug 23, 2010",87 minutes,United Artists,
E.T. The Extra-Terrestrial (1982),98,72,170,PG (for language and mild thematic elements),"Kids & Family, Science Fiction & Fantasy",Steven Spielberg,Melissa Mathison,"Jun 11, 1982 wide","Oct 22, 2002",114 minutes,Universal Pictures,
Coco (2017),97,94,191,PG (for thematic elements),"Action & Adventure, Animation, Comedy, Kids & Family","Lee Unkrich, Adrian Molina","Adrian Molina, Matthew Aldrich","Nov 22, 2017 wide","Feb 27, 2018","$208,487,719",109 minutes,Disney/Pixar
Dunkirk (2017),92,81,173,PG-13 (for intense war experience and some language),"Action & Adventure, Drama",Christopher Nolan,Christopher Nolan,"Jul 21, 2017 wide","Dec 19, 2017","$188,042,171",107 minutes,Warner Bros. Pictures
All About Eve (1950),100,94,194,PG,"Classics, Drama",Joseph L. Mankiewicz,Joseph L. Mankiewicz,"Jan 1, 1950 wide","Oct 5, 1999",138 minutes,20th Century Fox,
Metropolis (1927),99,92,191,PG-13,"Action & Adventure, Art House & International, Classics, Drama, Science Fiction & Fantasy",Fritz Lang,"Fritz Lang, Thea von Harbou","Mar 13, 1927 wide","Feb 18, 2003","$529,603",115 minutes,Paramount Pictures
Spotlight (2015),97,93,190,R (for some language including sexual references),"Drama, Mystery & Suspense",Tom McCarthy,"Tom McCarthy, Josh Singer","Nov 6, 2015 limited","Feb 23, 2016",129 minutes,Open Road Films,
Selma (2014),99,86,185,"PG-13 (for disturbing thematic material including violence, a suggestive moment, and brief strong language)",Drama,Ava DuVernay,Paul Webb,"Dec 25, 2014 limited","May 5, 2015",127 minutes,Paramount Pictures,
A Quiet Place (2018),95,83,178,PG-13 (for terror and some bloody images),"Drama, Horror, Mystery & Suspense",John Krasinski,"Bryan Woods, Scott Beck, John Krasinski","Apr 6, 2018 wide","Jul 10, 2018",90 minutes,Paramount Pictures,
Star Wars: The Last Jedi (2017),91,44,135,PG-13 (for sequences of sci-fi action and violence),"Action & Adventure, Drama, Science Fiction & Fantasy",Rian Johnson,"Rian Johnson, George Lucas","Dec 15, 2017 wide","Mar 27, 2018","$619,117,636",152 minutes,Walt Disney Pictures
La Grande illusion (Grand Illusion) (1938),97,93,190,NR,"Art House & International, Classics, Drama",Jean Renoir,"Jean Renoir, Charles Spaak","Sep 12, 1938 wide","Mar 24, 1998","$172,885",113 minutes,Rialto Pictures
The Bride of Frankenstein (1935),100,87,187,NR,"Classics, Horror, Science Fiction & Fantasy, Special Interest",James Whale,"John L. Balderston, William Hurlbut","Apr 22, 1935 wide","Aug 28, 2001",75 minutes,NCM,
The Shape of Water (2017),92,72,164,"R (for sexual content, graphic nudity, violence and language)","Drama, Science Fiction & Fantasy, Romance",Guillermo del Toro,"Guillermo del Toro, Vanessa Taylor","Dec 22, 2017 wide","Mar 13, 2018","$57,393,976",119 minutes,Fox Searchlight Pictures
Arrival (2016),94,82,176,PG-13 (for brief strong language),"Drama, Mystery & Suspense, Science Fiction & Fantasy",Denis Villeneuve,Eric Heisserer,"Nov 11, 2016 wide","Feb 14, 2017","$100,501,349",116 minutes,21 Laps Entertainment
The Big Sick (2017),98,88,186,R (for language including some sexual references),"Comedy, Romance",Michael Showalter,"Kumail Nanjiani, Emily V. Gordon","Jul 14, 2017 wide","Sep 19, 2017","$42,824,653",119 minutes,Amazon Studios
Thor: Ragnarok (2017),93,87,180,"PG-13 (for intense sequences of sci-fi violence and action, and brief suggestive material)","Action & Adventure, Drama, Science Fiction & Fantasy",Taika Waititi,Eric Pearson,"Nov 3, 2017 wide","Mar 6, 2018","$314,971,245",130 minutes,Walt Disney Pictures
Logan (2017),93,90,183,"R (for strong brutal violence and language throughout, and for brief nudity)","Action & Adventure, Drama, Science Fiction & Fantasy",James Mangold,"James Mangold, Scott Frank, Michael Green","Mar 3, 2017 wide","May 23, 2017","$226,276,809",135 minutes,20th Century Fox
The Godfather (1972),98,98,196,R (N/A),Drama,Francis Ford Coppola,"Francis Ford Coppola, Mario Puzo","Mar 24, 1972 wide","Oct 9, 2001",175 minutes,Paramount Pictures,
Paddington 2 (2018),100,88,188,PG (for some action and mild rude humor),"Animation, Comedy, Kids & Family",Paul King (VII),"Paul King (VII) , Simon Farnaby","Jan 12, 2018 wide","Apr 24, 2018",105 minutes,Warner Bros. Pictures,
Snow White and the Seven Dwarfs (1937),98,78,176,G,"Animation, Classics, Kids & Family, Science Fiction & Fantasy","David Hand, William Cottrell, David D. Hand, Wilfred Jackson, Larry Morey, Perce Pearce, Ben Sharpsteen, Dick Richard, Webb Smith, Dorothy Ann Blank, Merrill de Maris, Walt Disney, Richard Creedon","Dorothy Anne Blank, Dick Richards, Ted Sears, Dick Rickard, Earl Hurd, Webb Smith, Dick Richard, Dorothy Ann Blank, Merrill de Maris, Richard Creedon, Otto Englander","Dec 21, 1937 wide","Oct 6, 2009",83 minutes,Walt Disney Pictures,
King Kong (1933),98,86,184,G,"Action & Adventure, Classics, Horror","Ernest B. Schoedsack, Merian C. Cooper","James Ashmore Creelman, Ruth Rose, James Creelman","Jan 1, 1933 wide","Nov 22, 2005",103 minutes,RKO Pictures,
Incredibles 2 (2018),94,85,179,PG (for action sequences and some brief mild language),"Action & Adventure, Animation, Kids & Family",Brad Bird,Brad Bird,"Jun 15, 2018 wide","Oct 23, 2018",118 minutes,Disney/Pixar,
Call Me by Your Name (2018),95,86,181,"R (for sexual content, nudity and some language)","Drama, Romance",Luca Guadagnino,James Ivory,"Jan 19, 2018 wide","Mar 13, 2018",130 minutes,Sony Pictures Classics,
Singin' in the Rain (1952),100,95,195,G,"Classics, Comedy, Musical & Performing Arts, Romance","Stanley Donen, Gene Kelly","Betty Comden, Adolph Green","Jan 1, 1952 wide","Aug 26, 1997",102 minutes,MGM,
Gravity (2013),96,80,176,"PG-13 (for intense perilous sequences, some disturbing images and brief strong language)","Drama, Science Fiction & Fantasy",Alfonso Cuarón,"Alfonso Cuarón, Jonás Cuarón","Oct 4, 2013 wide","Feb 25, 2014","$274,084,951",91 minutes,Warner Bros. Pictures
